-23.08°	-17.38°	-7.97° 4.15° 14.77°	21.91° 23.18°	18.28° 8.66° -2.79°	-14.11°	-21.65°
-23.00°	-17.10°	-7.59° 4.53° 15.07°	22.05° 23.11°	18.03° 8.30° -3.18°	-14.43°	-21.81°
-22.91°	-16.81°	-7.21° 4.92° 15.37°	22.18° 23.04°	17.78° 7.94° -3.57°	-14.75°	-21.96°
-22.82°	-16.52°	-6.83° 5.30° 15.67°	22.31° 22.96°	17.52° 7.57° -3.95°	-15.07°	-22.10°
-22.72°	-16.22°	-6.44° 5.69° 15.96°	22.43° 22.88°	17.26° 7.20° -4.34°	-15.38°	-22.24°
-22.61°	-15.92°	-6.06° 6.07° 16.25°	22.54° 22.79°	16.99° 6.83° -4.73°	-15.68°	-22.37°
-22.49°	-15.62°	-5.67° 6.45° 16.53°	22.65° 22.69°	16.72° 6.46° -5.11°	-15.99°	-22.49°
-22.37°	-15.31°	-5.28° 6.82° 16.81°	22.75° 22.59°	16.44° 6.09° -5.50°	-16.28°	-22.61°
-22.24°	-14.99°	-4.89° 7.20° 17.08°	22.84° 22.48°	16.16° 5.71° -5.88°	-16.58°	-22.72°
-22.10°	-14.67°	-4.50° 7.57° 17.35°	22.93° 22.36°	15.87° 5.33° -6.26°	-16.86°	-22.82°
-21.95°	-14.35°	-4.11° 7.94° 17.62°	23.01° 22.24°	15.58° 4.95° -6.64°	-17.15°	-22.91°
-21.80°	-14.02°	-3.72° 8.31° 17.88°	23.08° 22.11°	15.29° 4.57° -7.02°	-17.43°	-23.00°
-21.64°	-13.69°	-3.33° 8.68° 18.13°	23.15° 21.98°	14.99° 4.19° -7.39°	-17.70°	-23.08°
-21.47°	-13.36°	-2.93° 9.04° 18.38°	23.21° 21.84°	14.69° 3.81° -7.77°	-17.97°	-23.15°
-21.30°	-13.02°	-2.54° 9.40° 18.62°	23.26° 21.69°	14.38° 3.43° -8.14°	-18.23°	-23.21°
-21.12°	-12.68°	-2.14° 9.76° 18.86°	23.31° 21.53°	14.07° 3.04° -8.51°	-18.49°	-23.27°
-20.93°	-12.33°	-1.75° 10.12°	19.10° 23.35°	21.37° 13.76°	2.66°	-8.88° -18.74° -23.32°
-20.74°	-11.99°	-1.35° 10.47°	19.32° 23.38°	21.21° 13.44°	2.27°	-9.25° -18.99° -23.36°
-20.54°	-11.63°	-0.96° 10.82°	19.55° 23.40°	21.04° 13.12°	1.88°	-9.62° -19.23° -23.39°
-20.33°	-11.28°	-0.56° 11.17°	19.76° 23.42°	20.86° 12.79°	1.50°	-9.98° -19.47° -23.41°
-20.12°	-10.92°	-0.17° 11.51°	19.97° 23.43°	20.67° 12.47°	1.11°	-10.34°	-19.70°	-23.43°
-19.90°	-10.56°	0.23° 11.85° 20.18° 23.44° 20.48°	12.13° 0.72° -10.70° -19.92° -23.44°
-19.67°	-10.20°	0.62° 12.19° 20.38°	23.44° 20.29°	11.80° 0.33° -11.05° -20.14° -23.44°
-19.44° -9.83° 1.02° 12.53°	20.57° 23.43°	20.09° 11.46°	-0.06° -11.41° -20.35° -23.43°
-19.20°	-9.47° 1.41° 12.86°	20.76° 23.41°	19.88° 11.12°	-0.45° -11.75° -20.55° -23.42°
-18.96°	-9.09° 1.80° 13.19°	20.95° 23.39°	19.67° 10.78°	-0.84° -12.10° -20.75° -23.40°
-18.71°	-8.72° 2.20° 13.51°	21.12° 23.36°	19.45° 10.43°	-1.23° -12.44° -20.94° -23.37°
-18.46°	-8.35° 2.59° 13.83°	21.29° 23.32°	19.23° 10.08°	-1.62° -12.78° -21.13° -23.33°
-18.19° 0°     2.98° 14.15° 21.46°	23.28° 19.00°	9.73°	-2.01° -13.12° -21.31° -23.28°
-17.93°	0°     3.37° 14.46° 21.61°	23.23° 18.76°	9.38°	-2.40° -13.46° -21.48° -23.23°
-17.66°	0°     3.76° 0°     21.77°  0°     18.53°	9.02° 0°     -13.79° 0°      -23.17°
